Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Year_Value
HYPERHEP B*,HEPATITIS B IMMUNE GLOBULIN*,90371,HEP B IG IM,2025 (Q1-Q4),42.0,82,58578.82,1394.7338095,714.37585366,2025
HYPERHEP B*,HEPATITIS B IMMUNE GLOBULIN*,90371,HEP B IG IM,2026 (Q1),19.0,28,24281.06,1277.9505263,867.18071429,2026
HYPERRAB,RABIES IMMUNE GLOBULIN,90375,RABIES IG IM/SC,2025 (Q1-Q4),4205.0,4219,11965232.66,2845.4774459,2836.0352358,2025
HYPERRAB,RABIES IMMUNE GLOBULIN,90375,RABIES IG IM/SC,2026 (Q1),681.0,686,2000953.12,2938.2571512,2916.8412828,2026
KEDRAB,RABIES IMMUNE GLOBULIN,90377,RABIES IG HT&SOL HUMAN IM/SC,2025 (Q1-Q4),1271.0,1273,3020777.33,2376.6934146,2372.9594108,2025
KEDRAB,RABIES IMMUNE GLOBULIN,90377,RABIES IG HT&SOL HUMAN IM/SC,2026 (Q1),253.0,253,641825.05,2536.8579051,2536.8579051,2026
BCG (TICE STRAIN)(90586),BCG LIVE,90586,BCG VACCINE INTRAVESICAL,2026 (Q1),600.5,15,2420.5,605.10741214,161.36666667,2026
HAVRIX*,HEPATITIS A VIRUS VACCINE*,90632,HEPA VACCINE ADULT IM,2025 (Q1-Q4),74.0,79,5685.76,76.834594595,71.97164557,2025
HAVRIX*,HEPATITIS A VIRUS VACCINE*,90632,HEPA VACCINE ADULT IM,2026 (Q1),14.0,14,1010.81,72.200714286,72.200714286,2026
FLUAD  *,FLU VACC TS (65UP)*,90653,IIV ADJUVANT VACCINE IM,2025 (Q1-Q4),3947980.0,4000376,370327131.36,93.801673604,92.57308097,2025
FLUAD  *,FLU VACC TS (65UP)*,90653,IIV ADJUVANT VACCINE IM,2026 (Q1),164480.0,164538,15015122.43,91.288438898,91.256259526,2026
AFLURIA   (3YR UP)*,FLU VACC TS  36MOS UP*,90656,IIV3 VACC NO PRSV 0.5 ML IM,2025 (Q1-Q4),646313.0,657532,15583318.15,24.1111012,23.69971066,2025
AFLURIA   (3YR UP)*,FLU VACC TS  36MOS UP*,90656,IIV3 VACC NO PRSV 0.5 ML IM,2026 (Q1),60513.0,60542,1395564.71,23.062229769,23.051182815,2026
AFLURIA  (90657)*,FLU VACC TS   (6 MOS UP)*,90657,IIV3 VACCINE SPLT 0.25 ML IM,2025 (Q1-Q4),776.0,778,35366.85,45.575837629,45.458676093,2025
AFLURIA  (90657)*,FLU VACC TS   (6 MOS UP)*,90657,IIV3 VACCINE SPLT 0.25 ML IM,2026 (Q1),25.0,25,440.18,17.6072,17.6072,2026
AFLURIA  (90658)*,FLU VACC TS   (6 MOS UP)*,90658,IIV3 VACCINE SPLT 0.5 ML IM,2025 (Q1-Q4),58134.0,58755,1859320.38,31.983355351,31.64531325,2025
AFLURIA  (90658)*,FLU VACC TS   (6 MOS UP)*,90658,IIV3 VACCINE SPLT 0.5 ML IM,2026 (Q1),2465.0,2467,65910.77,26.738649087,26.716972031,2026
FLUMIST  *,FLU VACC TV LIVE  (2-49YRS)*,90660,LAIV3 VACCINE INTRANASAL,2025 (Q1-Q4),138.0,138,3701.61,26.82326087,26.82326087,2025
FLUCELVAX  *,FLU VAC TS   (6MS UP) CELL*,90661,CCIIV3 VACCINE NO PRSC 0.5ML IM,2025 (Q1-Q4),402126.0,407803,18841189.03,46.853943863,46.201693048,2025
FLUCELVAX  *,FLU VAC TS   (6MS UP) CELL*,90661,CCIIV3 VACCINE NO PRSC 0.5ML IM,2026 (Q1),29534.0,29549,1400982.73,47.436267691,47.412187553,2026
FLUZONE HIGH-DOSE  *,FLU VACC TS (65YR UP)*,90662,IIV NO PRSV INCREASED AG IM,2025 (Q1-Q4),7177700.0,7308222,678918255.86,94.587159656,92.897869805,2025
FLUZONE HIGH-DOSE  *,FLU VACC TS (65YR UP)*,90662,IIV NO PRSV INCREASED AG IM,2026 (Q1),321279.0,321400,29639646.46,92.255162833,92.220430802,2026
PREVNAR 13,PNEUMOC 13-VAL CONJ-DIP CRM,90670,PCV13 VACCINE IM,2025 (Q1-Q4),5871.0,5939,1361798.71,231.95345086,229.29764438,2025
PREVNAR 13,PNEUMOC 13-VAL CONJ-DIP CRM,90670,PCV13 VACCINE IM,2026 (Q1),338.0,342,75977.34,224.78502959,222.15596491,2026
VAXNEUVANCE,PNEUMOC 15-VAL CONJ-DIP CRM,90671,PCV15 VACCINE IM,2025 (Q1-Q4),5349.0,5483,1299169.41,242.88080202,236.94499544,2025
VAXNEUVANCE,PNEUMOC 15-VAL CONJ-DIP CRM,90671,PCV15 VACCINE IM,2026 (Q1),614.0,617,149367.08,243.26885993,242.08602917,2026
FLUBLOK  *,FLU VAC TV  (9 YR UP)RCM*,90673,RIV3 VACCINE NO PRESERV IM,2025 (Q1-Q4),393197.0,398067,34648295.85,88.119430845,87.041367031,2025
FLUBLOK  *,FLU VAC TV  (9 YR UP)RCM*,90673,RIV3 VACCINE NO PRESERV IM,2026 (Q1),26351.0,26354,2269449.67,86.123853744,86.11404986,2026
IMOVAX RABIES VACCINE*,"RABIES VACC, HUMAN DIPLOID*",90675,RABIES VACCINE IM,2025 (Q1-Q4),7157.0,21052,6871571.5,960.11897443,326.40943853,2025
IMOVAX RABIES VACCINE*,"RABIES VACC, HUMAN DIPLOID*",90675,RABIES VACCINE IM,2026 (Q1),1459.0,3634,1206161.34,826.70413982,331.91011007,2026
PREVNAR 20,PNEUMOC 20-VAL CONJ-DIP CRM,90677,PCV20 VACCINE IM,2025 (Q1-Q4),1456867.0,1469884,431491344.08,296.17758112,293.55469144,2025
PREVNAR 20,PNEUMOC 20-VAL CONJ-DIP CRM,90677,PCV20 VACCINE IM,2026 (Q1),225085.0,225730,66897446.05,297.20970322,296.36045741,2026
CAPVAXIVE,PNEUMOC 21-VAL CONJ-DIP CRM,90684,PCV21 VACCINE IM,2025 (Q1-Q4),545441.0,547646,172536210.72,316.32424171,315.05061796,2025
CAPVAXIVE,PNEUMOC 21-VAL CONJ-DIP CRM,90684,PCV21 VACCINE IM,2026 (Q1),110158.0,110351,36180475.82,328.4416549,327.86722205,2026
TDVAX*,"TETANUS, DIPHTHERIA TOX,ADULT*",90714,TD VACC NO PRESV 7 YRS+ IM,2025 (Q1-Q4),45324.0,45412,1566677.76,34.566184803,34.499201973,2025
TDVAX*,"TETANUS, DIPHTHERIA TOX,ADULT*",90714,TD VACC NO PRESV 7 YRS+ IM,2026 (Q1),7412.0,7419,282899.64,38.167787372,38.131775172,2026
ADACEL TDAP*,"DIPH,PERTUSS(ACELL),TET VAC*",90715,TDAP VACCINE 7 YRS/> IM,2025 (Q1-Q4),98405.0,98569,3792813.61,38.54289528,38.478767259,2025
ADACEL TDAP*,"DIPH,PERTUSS(ACELL),TET VAC*",90715,TDAP VACCINE 7 YRS/> IM,2026 (Q1),16964.0,16971,664291.04,39.158868191,39.142716399,2026
PNEUMOVAX 23,PNEUMOCOCCAL 23-VAL P-SAC VAC,90732,PPSV23 VACC 2 YRS+ SUBQ/IM,2025 (Q1-Q4),54703.0,55016,7402464.35,135.32099428,134.55111877,2025
PNEUMOVAX 23,PNEUMOCOCCAL 23-VAL P-SAC VAC,90732,PPSV23 VACC 2 YRS+ SUBQ/IM,2026 (Q1),7698.0,7718,1088284.55,141.37237594,141.00603136,2026
HEPLISAV-B,HEPATITIS B VACCINE,90739,HEPB VACC 2 DOSE ADULT IM,2025 (Q1-Q4),94304.0,158233,26719281.26,283.33136728,168.86035947,2025
HEPLISAV-B,HEPATITIS B VACCINE,90739,HEPB VACC 2 DOSE ADULT IM,2026 (Q1),45432.0,54586,9366214.67,206.15897759,171.58638973,2026
ENGERIX-B ADULT(90740)*,HEPATITIS B VIRUS VACCINE*,90740,HEPB VACC 3 DOSE IMMUNSUP IM,2025 (Q1-Q4),1839.0,3142,491286.38,267.14865688,156.36103756,2025
ENGERIX-B ADULT(90740)*,HEPATITIS B VIRUS VACCINE*,90740,HEPB VACC 3 DOSE IMMUNSUP IM,2026 (Q1),598.0,724,122106.39,204.19128763,168.65523481,2026
RECOMBIVAX HB,HEPATITIS B VIRUS VACCINE,90743,"HEP B VACC, ADOL, 2 DOSE, IM",2025 (Q1-Q4),104.0,117,6784.96,65.24,57.991111111,2025
RECOMBIVAX HB,HEPATITIS B VIRUS VACCINE,90743,"HEP B VACC, ADOL, 2 DOSE, IM",2026 (Q1),27.0,27,1676.34,62.086666667,62.086666667,2026
ENGERIX-B PEDIATRIC-ADOLESCENT*,HEPATITIS B VIRUS VACCINE*,90744,HEPB VACC 3 DOSE PED/ADOL IM,2025 (Q1-Q4),300.0,364,16325.16,54.4172,44.849340659,2025
ENGERIX-B PEDIATRIC-ADOLESCENT*,HEPATITIS B VIRUS VACCINE*,90744,HEPB VACC 3 DOSE PED/ADOL IM,2026 (Q1),64.0,68,3210.66,50.1665625,47.215588235,2026
ENGERIX-B ADULT(90746)*,HEPATITIS B VIRUS VACCINE*,90746,HEPB VACCINE 3 DOSE ADULT IM,2025 (Q1-Q4),35247.0,52012,3680049.79,104.40746134,70.753860455,2025
ENGERIX-B ADULT(90746)*,HEPATITIS B VIRUS VACCINE*,90746,HEPB VACCINE 3 DOSE ADULT IM,2026 (Q1),11258.0,12582,947946.79,84.202059869,75.341502941,2026
ENGERIX-B ADULT(90747)*,HEPATITIS B VIRUS VACCINE*,90747,HEPB VACC 4 DOSE IMMUNSUP IM,2025 (Q1-Q4),20972.0,43282,6187645.97,295.04319903,142.96118409,2025
ENGERIX-B ADULT(90747)*,HEPATITIS B VIRUS VACCINE*,90747,HEPB VACC 4 DOSE IMMUNSUP IM,2026 (Q1),5412.0,6808,1160521.02,214.43477827,170.46430964,2026
