antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'High_Claims'}),frozenset({'High_Spending'}),0.25,0.25,0.138,0.552,2.208,1.0,0.07550000000000001,1.674107142857143,0.7294685990338164,0.3812154696132597,0.40266666666666673,0.552
frozenset({'High_Spending'}),frozenset({'High_Claims'}),0.25,0.25,0.138,0.552,2.208,1.0,0.07550000000000001,1.674107142857143,0.7294685990338164,0.3812154696132597,0.40266666666666673,0.552
frozenset({'High_Claims'}),frozenset({'High_Beneficiaries'}),0.25,0.25,0.228,0.912,3.648,1.0,0.1655,8.522727272727275,0.9678362573099415,0.8382352941176471,0.8826666666666667,0.912
frozenset({'High_Beneficiaries'}),frozenset({'High_Claims'}),0.25,0.25,0.228,0.912,3.648,1.0,0.1655,8.522727272727275,0.9678362573099415,0.8382352941176471,0.8826666666666667,0.912
frozenset({'High_Beneficiaries'}),frozenset({'High_Spending'}),0.25,0.25,0.132,0.528,2.112,1.0,0.0695,1.5889830508474576,0.7020202020202021,0.3586956521739131,0.3706666666666667,0.528
frozenset({'High_Spending'}),frozenset({'High_Beneficiaries'}),0.25,0.25,0.132,0.528,2.112,1.0,0.0695,1.5889830508474576,0.7020202020202021,0.3586956521739131,0.3706666666666667,0.528
"frozenset({'High_Claims', 'High_Spending'})",frozenset({'High_Beneficiaries'}),0.138,0.25,0.127,0.9202898550724637,3.681159420289855,1.0,0.0925,9.409090909090907,0.8449494857226373,0.48659003831417624,0.893719806763285,0.7141449275362319
"frozenset({'High_Claims', 'High_Beneficiaries'})",frozenset({'High_Spending'}),0.228,0.25,0.127,0.5570175438596491,2.2280701754385963,1.0,0.07,1.6930693069306928,0.7139651585002652,0.36182336182336183,0.40935672514619875,0.5325087719298245
"frozenset({'High_Beneficiaries', 'High_Spending'})",frozenset({'High_Claims'}),0.132,0.25,0.127,0.962121212121212,3.848484848484848,1.0,0.094,19.799999999999958,0.852715991146268,0.4980392156862745,0.9494949494949494,0.735060606060606
frozenset({'High_Claims'}),"frozenset({'High_Beneficiaries', 'High_Spending'})",0.25,0.132,0.127,0.508,3.848484848484848,1.0,0.094,1.7642276422764227,0.9868766404199475,0.4980392156862745,0.43317972350230416,0.735060606060606
frozenset({'High_Spending'}),"frozenset({'High_Claims', 'High_Beneficiaries'})",0.25,0.228,0.127,0.508,2.2280701754385963,1.0,0.07,1.5691056910569106,0.7349081364829397,0.36182336182336183,0.3626943005181347,0.5325087719298245
frozenset({'High_Beneficiaries'}),"frozenset({'High_Claims', 'High_Spending'})",0.25,0.138,0.127,0.508,3.681159420289855,1.0,0.0925,1.7520325203252032,0.9711286089238845,0.48659003831417624,0.42923433874709976,0.7141449275362319
